0, 45, 20, 2.5
1, 46, 25, 2.6
2, 48, 30, 2.7
3, 50, 35, 2.8
4, 51, 32, 2.7
5, 52, 28, 2.6
6, 53, 34, 2.7
7, 54, 40, 2.8
8, 55, 45, 2.9
9, 56, 42, 2.8
10, 57, 38, 2.7
11, 58, 44, 2.8
12, 59, 50, 2.9
13, 60, 47, 2.8
14, 61, 43, 2.7
15, 62, 49, 2.8
16, 63, 55, 2.9
17, 64, 52, 2.8
18, 63, 48, 2.7
19, 62, 44, 2.6
20, 61, 50, 2.7
21, 62, 56, 2.8
22, 63, 62, 2.9
23, 64, 58, 2.8
24, 63, 54, 2.7
25, 62, 60, 2.8
26, 61, 66, 2.9
27, 60, 62, 2.8
28, 59, 58, 2.7
29, 58, 54, 2.6
30, 57, 60, 2.7
31, 56, 66, 2.8
32, 55, 62, 2.7
33, 54, 58, 2.6
34, 53, 54, 2.5
35, 52, 60, 2.6
36, 51, 66, 2.7
37, 50, 62, 2.6
38, 49, 58, 2.5
39, 48, 54, 2.4
40, 47, 50, 2.5
41, 48, 56, 2.6
42, 49, 62, 2.7
43, 50, 58, 2.6
44, 51, 54, 2.5
45, 52, 60, 2.6
46, 53, 66, 2.7
47, 54, 62, 2.6
48, 55, 58, 2.5
49, 54, 54, 2.4
50, 53, 50, 2.5
51, 52, 56, 2.6
52, 51, 62, 2.7
53, 50, 58, 2.6
54, 49, 54, 2.5
55, 48, 50, 2.4
56, 47, 56, 2.5
57, 46, 62, 2.6
58, 45, 58, 2.5
59, 44, 54, 2.4
60, 43, 50, 2.3
61, 58, 44, 2.8
62, 59, 50, 2.9
63, 60, 56, 3.0
64, 61, 52, 2.9
65, 62, 48, 2.8
66, 63, 54, 2.9
67, 64, 60, 3.0
68, 65, 56, 2.9
69, 66, 52, 2.8
70, 67, 58, 2.9
71, 68, 64, 3.0
72, 69, 60, 2.9
73, 68, 56, 2.8
74, 67, 62, 2.9
75, 66, 68, 3.0
76, 65, 64, 2.9
77, 64, 60, 2.8
78, 63, 66, 2.9
79, 62, 72, 3.0
80, 55, 42, 2.9
81, 56, 48, 3.0
82, 57, 54, 3.1
83, 58, 50, 3.0
84, 59, 46, 2.9
85, 60, 52, 3.0
86, 61, 58, 3.1
87, 62, 54, 3.0
88, 63, 50, 2.9
89, 64, 56, 3.0
90, 65, 62, 3.1
91, 66, 58, 3.0
92, 67, 54, 2.9
93, 66, 60, 3.0
94, 65, 66, 3.1
95, 64, 62, 3.0
96, 63, 58, 2.9
97, 62, 54, 2.8
98, 61, 60, 2.9
99, 60, 66, 3.0
100, 59, 62, 2.9
